business_id,business_name,business_type,business_location,country,owner_id,logo,date_time
25,FirstMavenProject,ddsd,Nairobi CBD,Kenya,2,none,2019-12-18 02:26:55pm
26,Cilo designs,ddsd,Kitengela town,Kenya,2,none,2019-12-18 02:29:31pm
46,Delis,, Nakuru town, Kenya CRLF,2,,2019-12-23 08:55:10am
47,Gilanis,, Nakuru town, Kenya CRLF,2,,2019-12-23 08:55:10am
48,Oloo treams,, Kisumu town, Kenya CRLF,2,,2019-12-23 08:55:10am
49,Victorion ltd,ddsd,Kileleshwa ring rd,Kenya,2,none,2019-12-23 08:59:17am
51,Victorion-Argwings,,Hurlingham,Kenya,2,,2019-12-23 09:05:36am
52,"
Victorion-Mada",,Madraka,Kenya,2,,2019-12-23 09:05:36am
53,Victorion-Kile,,Kileleshwa,Kenya,2,,2019-12-23 09:05:36am